9 + 7 = ?_63
9 + 9 = ?_81
16 + 21 = ?_37
72 + 11 = ?_83
11 x 11 = ?_121
13 + 27 = ?_40
55 x 2 = ?_110
77 x 2 = ?_154
15 x 4 = ?_60
10/3, what is the remainder?_1
99 + 99 = ?_198
45 + 55 = ?_100
100 x 10 = ?_1000
560+ 440 = ?_1000
9 + 1111 = ?_1120
100 x 5 = ?_500
Name a type of triangle_equilateral_isosceles_scalene_acute_obtuse_right angle_equilateral triangle_isosceles triangle_scalene triangle_acute triangle_obtuse triangle_right angle triangle
A square has 4 sides of equal length, true or false?_true
